,token,count
0,마른하늘,1
1,누,16
2,(,24
3,현재,10
4,생기다,129
5,날벼락,2
6,18,8
7,....,192
8,받다,173
9,),28
10,계속,60
11,군,18
12,망하다,52
13,주인,4
14,심정,5
15,추모,6
16,맞다,146
17,호텔,7
18,아,291
19,난,153
20,대표,14
21,모습,61
22,너무나,7
23,인,231
24,아름답다,21
25,을,675
26,곱,10
27,알다,245
28,미처,1
29,한국,104
30,적,187
31,ㅠ,105
32,분,108
33,뒤,37
34,미인,9
35,고,374
36,...,757
37,그,276
38,슬픔,4
39,거두다,3
40,넘다,160
41,심다,5
42,남,108
43,지,274
44,래야,5
45,처벌,13
46,즐기다,19
47,되다,552
48,공정하다,3
49,고통,7
50,사회,19
51,"..,",3
52,..,874
53,마땅하다,6
54,못,438
55,",",270
56,젠,36
57,들다,299
58,3,47
59,갈수록,14
60,화,30
61,4,21
62,어설프다,4
63,재밌다,87
64,너무,368
65,1,78
66,2,66
67,지나다,12
68,생각,179
69,살해,2
70,리안,2
71,동영상,10
72,손톱,2
73,사람,478
74,얼굴,180
75,몰카,7
76,이고,70
77,없다,639
78,인격,5
79,냐,157
80,?,1136
81,.,1441
82,메걸,1
83,긁다,2
84,이승기,12
85,랑,185
86,+,14
87,8,4
88,비교,16
89,10,23
90,진짜,378
91,금지,5
92,정치,16
93,잡다,40
94,여성,41
95,크게,12
96,간,45
97,일부다처제,2
98,자리,20
99,투표,7
100,한번,62
101,전쟁,5
102,울다,17
103,남녀,18
104,참여,4
105,공통,1
106,삭제,5
107,로,455
108,안에,3
109,권,6
110,문화,8
111,치룬,1
112,성,69
113,100년,2
114,세계,12
115,댐,4
116,암탉,2
117,후,28
118,재,32
119,평가,13
120,임,119
121,말다,98
122,틀리다,11
123,윤서인,4
124,분명하다,6
125,10년,13
126,프로,68
127,니,232
128,왜,461
129,폐지,28
130,때문,87
131,이다,431
132,느끼다,34
133,재미,50
134,만에,9
135,성공,7
136,해,113
137,두다,79
138,방탄,39
139,일단,17
140,기억,22
141,ㅇㅇ,12
142,이름,49
143,차방탄팬인데,1
144,부하,1
145,우리,59
146,처럼,103
147,긍금하,1
148,라고,85
149,인지,50
150,부부,46
151,차이,26
152,무슨,135
153,네,308
154,살,116
155,내용,25
156,이더,1
157,결혼,224
158,성수,1
159,다,623
160,이나,146
161,5월,1
162,속,48
163,1월,1
164,이라,82
165,비다,55
166,12월,1
167,여름,3
168,기지,4
169,13,1
170,놀라다,13
171,요즘,104
172,세상,55
173,면,211
174,일도,10
175,아니다,757
176,뒤지다,16
177,ㅋㅋㅋㅋ,115
178,억울,3
179,뜯다,21
180,~~~~,19
181,아프다,59
182,얼마나,86
183,1400억,1
184,아들,47
185,유모차,3
186,울,16
187,안,536
188,타다,38
189,15년,3
190,생인,2
191,인데,243
192,능력,33
193,좋다,536
194,전현무,39
195,스타일,20
196,보다,982
197,치다,140
198,딸벌,2
199,15,4
200,여자,458
201,ㅋㅋ,329
202,때,248
203,사고,24
204,어리다,82
205,마르,2
206,봄,29
207,필요없다,10
208,야다,1
209,다이어트,19
210,건강,10
211,게,251
212,더,273
213,빼다,52
214,166,1
215,57.4,1
216,위해,22
217,27년,1
218,이면,33
219,가지다,23
220,않다,270
221,17년,1
222,사랑,85
223,도저히,3
224,납득,1
225,만으로,4
226,것,170
227,너무하다,12
228,있다,637
229,가능하다,18
230,79180,1
231,정도,115
232,기럭지,3
233,보이다,125
234,구심,1
235,듬,2
236,비율,20
237,180,3
238,넘어가다,8
239,그래도,77
240,함,66
241,에서,362
242,애,243
243,78,1
244,크다,101
245,의심,13
246,뭔,105
247,이하,3
248,죄임,1
249,후손,3
250,연애,53
251,유전자,5
252,한남,47
253,돈,192
254,셈,6
255,ㅋ,186
256,호빗,1
257,야,177
258,감량,2
259,그냥,230
260,하,151
261,로는,12
262,찌다,35
263,싶다,127
264,키,32
265,먹다,205
266,을해,1
267,박수,6
268,자고,4
269,1959년,1
270,입학,2
271,로스쿨,4
272,하버드,3
273,자유당,1
274,대단하다,54
275,불다,29
276,시절,8
277,진출,4
278,할리우드,2
279,트리,8
280,망,9
281,19,5
282,바뀌다,17
283,2년,15
284,봅니다,1
285,연예,31
286,1년,8
287,기사,177
288,마시다,6
289,둘,89
290,연남동,1
291,이제야,3
292,뜨다,70
293,술,33
294,술집,8
295,전인가,2
296,입장,28
297,재미없다,44
298,생각나다,27
299,학부모,2
300,2일,6
301,박,15
302,부도덕하다,1
303,이제,154
304,뻔,12
305,나오다,419
306,만,453
307,부,6
308,거,223
309,썩다,8
310,웃기,17
